Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Atherina,boyeri,46.75,37.25,1403:467:3,0.21
Atherina,boyeri,46.25,37.75,1403:467:2,0.24
Atherina,boyeri,46.25,37.25,1403:467:1,0.25
Atherina,boyeri,46.75,36.75,1403:466:4,0.22
Atherina,boyeri,46.25,36.75,1403:466:2,0.25
Atherina,boyeri,46.25,36.25,1403:466:1,0.26
Atherina,boyeri,46.25,35.75,1403:465:2,0.20
Atherina,boyeri,45.75,37.75,1403:457:4,0.25
Atherina,boyeri,45.75,37.25,1403:457:3,0.24
Atherina,boyeri,45.25,37.75,1403:457:2,0.25
Atherina,boyeri,45.25,37.25,1403:457:1,0.24
Atherina,boyeri,45.75,36.75,1403:456:4,0.25
Atherina,boyeri,45.75,36.25,1403:456:3,0.26
Atherina,boyeri,45.25,36.75,1403:456:2,0.25
Atherina,boyeri,45.25,36.25,1403:456:1,0.27
Atherina,boyeri,45.75,35.75,1403:455:4,0.26
Atherina,boyeri,45.75,35.25,1403:455:3,0.26
Atherina,boyeri,45.25,35.75,1403:455:2,0.27
Atherina,boyeri,45.25,35.25,1403:455:1,0.27
Atherina,boyeri,46.25,32.25,1403:362:1,0.20
Atherina,boyeri,46.25,31.75,1403:361:2,0.23
Atherina,boyeri,46.25,31.25,1403:361:1,0.23
Atherina,boyeri,46.25,30.75,1403:360:2,0.23
Atherina,boyeri,46.25,30.25,1403:360:1,0.22
Atherina,boyeri,45.25,33.75,1403:353:2,0.25
Atherina,boyeri,45.25,33.25,1403:353:1,0.29
Atherina,boyeri,45.75,32.25,1403:352:3,0.24
Atherina,boyeri,45.25,32.75,1403:352:2,0.29
Atherina,boyeri,45.75,31.75,1403:351:4,0.26
Atherina,boyeri,45.75,31.25,1403:351:3,0.26
Atherina,boyeri,45.75,30.75,1403:350:4,0.24
Atherina,boyeri,45.25,30.75,1403:350:2,0.26
Atherina,boyeri,44.25,39.25,1403:249:1,0.30
Atherina,boyeri,44.75,38.25,1403:248:3,0.28
Atherina,boyeri,44.25,38.75,1403:248:2,0.31
Atherina,boyeri,44.25,38.25,1403:248:1,0.31
Atherina,boyeri,44.75,37.75,1403:247:4,0.26
Atherina,boyeri,44.75,37.25,1403:247:3,0.22
Atherina,boyeri,44.75,36.75,1403:246:4,0.26
Atherina,boyeri,44.75,36.25,1403:246:3,0.28
Atherina,boyeri,44.75,35.75,1403:245:4,0.29
Atherina,boyeri,44.75,35.25,1403:245:3,0.29
Atherina,boyeri,43.75,39.75,1403:239:4,0.31
Atherina,boyeri,43.75,39.25,1403:239:3,0.27
Atherina,boyeri,43.25,39.75,1403:239:2,0.31
Atherina,boyeri,42.25,35.25,1403:225:1,0.31
