Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Dicentrarchus,labrax,60.25,19.75,1601:209:2,0.03
Dicentrarchus,labrax,60.25,19.25,1601:209:1,0.03
Dicentrarchus,labrax,60.75,18.75,1601:208:4,0.03
Dicentrarchus,labrax,60.75,18.25,1601:208:3,0.03
Dicentrarchus,labrax,60.25,18.75,1601:208:2,0.03
Dicentrarchus,labrax,60.25,18.25,1601:208:1,0.03
Dicentrarchus,labrax,60.75,17.75,1601:207:4,0.03
Dicentrarchus,labrax,60.75,17.25,1601:207:3,0.03
Dicentrarchus,labrax,64.75,9.25,1600:249:3,0.02
Dicentrarchus,labrax,60.75,2.25,1600:102:3,0.09
Dicentrarchus,labrax,60.25,2.25,1600:102:1,0.13
Dicentrarchus,labrax,60.25,1.75,1600:101:2,0.09
Dicentrarchus,labrax,59.75,23.25,1502:393:3,0.01
Dicentrarchus,labrax,59.25,23.75,1502:393:2,0.03
Dicentrarchus,labrax,59.25,23.25,1502:393:1,0.04
Dicentrarchus,labrax,59.75,22.75,1502:392:4,0.02
Dicentrarchus,labrax,59.75,22.25,1502:392:3,0.02
Dicentrarchus,labrax,59.25,22.75,1502:392:2,0.05
Dicentrarchus,labrax,59.25,22.25,1502:392:1,0.06
Dicentrarchus,labrax,59.75,21.75,1502:391:4,0.03
Dicentrarchus,labrax,59.75,21.25,1502:391:3,0.04
Dicentrarchus,labrax,59.25,21.75,1502:391:2,0.06
Dicentrarchus,labrax,59.25,21.25,1502:391:1,0.07
Dicentrarchus,labrax,59.75,20.75,1502:390:4,0.04
Dicentrarchus,labrax,59.75,20.25,1502:390:3,0.05
Dicentrarchus,labrax,59.25,20.75,1502:390:2,0.07
Dicentrarchus,labrax,59.25,20.25,1502:390:1,0.07
Dicentrarchus,labrax,58.75,23.75,1502:383:4,0.01
Dicentrarchus,labrax,58.75,23.25,1502:383:3,0.03
Dicentrarchus,labrax,58.75,22.75,1502:382:4,0.05
Dicentrarchus,labrax,58.75,22.25,1502:382:3,0.07
Dicentrarchus,labrax,58.25,22.25,1502:382:1,0.04
Dicentrarchus,labrax,58.75,21.75,1502:381:4,0.08
Dicentrarchus,labrax,58.75,21.25,1502:381:3,0.09
Dicentrarchus,labrax,58.25,21.75,1502:381:2,0.07
Dicentrarchus,labrax,58.25,21.25,1502:381:1,0.09
Dicentrarchus,labrax,58.75,20.75,1502:380:4,0.07
Dicentrarchus,labrax,58.75,20.25,1502:380:3,0.09
Dicentrarchus,labrax,58.25,20.75,1502:380:2,0.08
Dicentrarchus,labrax,58.25,20.25,1502:380:1,0.06
Dicentrarchus,labrax,57.75,22.75,1502:372:4,0.01
Dicentrarchus,labrax,57.75,22.25,1502:372:3,0.03
Dicentrarchus,labrax,57.25,22.75,1502:372:2,0.01
Dicentrarchus,labrax,57.75,21.75,1502:371:4,0.07
Dicentrarchus,labrax,57.75,21.25,1502:371:3,0.10
Dicentrarchus,labrax,57.25,21.75,1502:371:2,0.06
Dicentrarchus,labrax,57.25,21.25,1502:371:1,0.11
Dicentrarchus,labrax,57.75,20.75,1502:370:4,0.08
Dicentrarchus,labrax,57.25,20.75,1502:370:2,0.11
