Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sarda,sarda,42.75,-67.25,7406:227:3,0.12
Sarda,sarda,43.75,-61.25,7406:131:3,0.11
Sarda,sarda,49.75,-59.25,7405:499:3,0.07
Sarda,sarda,49.75,-57.75,7405:497:4,0.07
Sarda,sarda,49.75,-56.75,7405:496:4,0.18
Sarda,sarda,49.75,-56.25,7405:496:3,0.08
Sarda,sarda,47.75,-59.75,7405:479:4,0.03
Sarda,sarda,47.25,-59.75,7405:479:2,0.18
Sarda,sarda,46.25,-58.25,7405:468:1,0.06
Sarda,sarda,49.75,-54.25,7405:394:3,0.19
Sarda,sarda,49.75,-53.75,7405:393:4,0.18
Sarda,sarda,49.75,-53.25,7405:393:3,0.16
Sarda,sarda,49.75,-52.75,7405:392:4,0.07
Sarda,sarda,48.25,-52.25,7405:382:1,0.13
Sarda,sarda,48.75,-51.75,7405:381:4,0.08
Sarda,sarda,48.75,-51.25,7405:381:3,0.17
Sarda,sarda,48.75,-50.75,7405:380:4,0.14
Sarda,sarda,48.75,-50.25,7405:380:3,0.09
Sarda,sarda,44.25,-50.25,7405:140:1,0.05
Sarda,sarda,48.25,-49.75,7404:489:2,0.15
Sarda,sarda,48.25,-49.25,7404:489:1,0.03
Sarda,sarda,47.75,-48.25,7404:478:3,0.11
Sarda,sarda,46.75,-49.25,7404:469:3,0.12
Sarda,sarda,46.75,-47.25,7404:467:3,0.19
Sarda,sarda,46.25,-47.25,7404:467:1,0.13
Sarda,sarda,45.25,-49.25,7404:459:1,0.03
Sarda,sarda,43.75,-49.75,7404:239:4,0.18
Sarda,sarda,43.75,-9.25,7400:239:3,0.08
Sarda,sarda,30.25,-87.25,7308:207:1,0.08
Sarda,sarda,35.75,-75.75,7307:455:4,0.17
Sarda,sarda,35.75,-75.25,7307:455:3,0.08
Sarda,sarda,33.75,-14.25,7301:134:3,0.05
Sarda,sarda,26.75,-83.25,7208:363:3,0.17
Sarda,sarda,24.25,-88.75,7208:248:2,0.19
Sarda,sarda,26.75,-79.25,7207:469:3,0.03
Sarda,sarda,24.75,-75.25,7207:245:3,0.12
Sarda,sarda,21.25,-16.75,7201:216:2,0.10
Sarda,sarda,19.75,-91.25,7109:391:3,0.17
Sarda,sarda,18.25,-75.75,7107:485:2,0.18
Sarda,sarda,14.25,-61.25,7106:141:1,0.14
Sarda,sarda,8.25,-59.25,7005:489:1,0.15
Sarda,sarda,6.25,-55.25,7005:465:1,0.08
Sarda,sarda,7.25,-52.75,7005:372:2,0.06
Sarda,sarda,2.75,-50.25,7005:120:3,0.12
Sarda,sarda,2.25,-50.25,7005:120:1,0.17
Sarda,sarda,1.75,-50.25,7005:110:3,0.09
Sarda,sarda,0.75,-50.25,7005:100:3,0.02
Sarda,sarda,2.25,-48.75,7004:228:2,0.04
Sarda,sarda,1.25,-49.75,7004:219:2,0.03
Sarda,sarda,1.75,-48.25,7004:218:3,0.05
Sarda,sarda,-39.25,-58.75,5305:498:2,0.17
Sarda,sarda,-38.75,-59.25,5305:489:3,0.17
Sarda,sarda,-27.25,-48.25,5204:478:1,0.17
Sarda,sarda,-26.75,-48.75,5204:468:4,0.08
Sarda,sarda,-22.25,-39.75,5203:229:2,0.16
Sarda,sarda,-4.25,-37.75,5003:247:2,0.08
Sarda,sarda,-33.75,25.75,3302:235:4,0.14
Sarda,sarda,-35.75,19.25,3301:459:3,0.02
Sarda,sarda,-30.25,15.75,3301:205:2,0.15
Sarda,sarda,-25.25,13.75,3201:353:2,0.13
Sarda,sarda,-24.25,14.25,3201:144:1,0.13
Sarda,sarda,-20.75,8.75,3200:208:4,0.05
Sarda,sarda,-17.25,11.25,3101:371:1,0.01
Sarda,sarda,60.25,19.75,1601:209:2,0.01
Sarda,sarda,60.25,19.25,1601:209:1,0.01
Sarda,sarda,61.25,4.25,1600:114:1,0.09
Sarda,sarda,59.25,23.75,1502:393:2,0.01
Sarda,sarda,59.25,23.25,1502:393:1,0.01
Sarda,sarda,59.25,22.75,1502:392:2,0.01
Sarda,sarda,59.25,22.25,1502:392:1,0.02
Sarda,sarda,59.75,21.75,1502:391:4,0.01
Sarda,sarda,59.75,21.25,1502:391:3,0.01
Sarda,sarda,59.25,21.75,1502:391:2,0.02
Sarda,sarda,59.25,21.25,1502:391:1,0.02
Sarda,sarda,59.75,20.25,1502:390:3,0.01
Sarda,sarda,59.25,20.75,1502:390:2,0.02
Sarda,sarda,59.25,20.25,1502:390:1,0.02
Sarda,sarda,58.75,21.75,1502:381:4,0.03
Sarda,sarda,58.75,21.25,1502:381:3,0.03
Sarda,sarda,58.25,21.25,1502:381:1,0.03
Sarda,sarda,58.75,20.75,1502:380:4,0.03
Sarda,sarda,58.75,20.25,1502:380:3,0.03
Sarda,sarda,58.25,20.75,1502:380:2,0.03
Sarda,sarda,58.25,20.25,1502:380:1,0.03
Sarda,sarda,57.75,21.25,1502:371:3,0.03
Sarda,sarda,57.75,20.75,1502:370:4,0.04
Sarda,sarda,57.75,20.25,1502:370:3,0.04
Sarda,sarda,57.25,20.75,1502:370:2,0.04
Sarda,sarda,57.25,20.25,1502:370:1,0.04
Sarda,sarda,56.75,20.75,1502:360:4,0.04
Sarda,sarda,56.75,20.25,1502:360:3,0.04
Sarda,sarda,56.25,20.25,1502:360:1,0.05
Sarda,sarda,55.75,20.25,1502:350:3,0.02
Sarda,sarda,59.75,19.75,1501:499:4,0.01
Sarda,sarda,59.25,19.75,1501:499:2,0.02
Sarda,sarda,59.25,19.25,1501:499:1,0.02
Sarda,sarda,58.75,19.75,1501:489:4,0.03
Sarda,sarda,58.75,19.25,1501:489:3,0.03
Sarda,sarda,58.25,19.75,1501:489:2,0.03
Sarda,sarda,58.25,19.25,1501:489:1,0.03
Sarda,sarda,58.75,18.75,1501:488:4,0.02
Sarda,sarda,58.75,18.25,1501:488:3,0.02
Sarda,sarda,58.25,18.75,1501:488:2,0.03
Sarda,sarda,58.25,18.25,1501:488:1,0.03
Sarda,sarda,58.75,17.75,1501:487:4,0.01
Sarda,sarda,58.25,17.75,1501:487:2,0.03
Sarda,sarda,58.25,17.25,1501:487:1,0.02
Sarda,sarda,57.75,19.75,1501:479:4,0.04
Sarda,sarda,57.75,19.25,1501:479:3,0.03
Sarda,sarda,57.25,19.75,1501:479:2,0.04
Sarda,sarda,57.25,19.25,1501:479:1,0.04
Sarda,sarda,57.75,18.25,1501:478:3,0.03
Sarda,sarda,57.25,18.75,1501:478:2,0.04
Sarda,sarda,57.25,18.25,1501:478:1,0.03
Sarda,sarda,57.75,17.75,1501:477:4,0.03
Sarda,sarda,57.75,17.25,1501:477:3,0.03
Sarda,sarda,57.25,17.75,1501:477:2,0.03
Sarda,sarda,57.25,17.25,1501:477:1,0.01
Sarda,sarda,56.75,19.75,1501:469:4,0.04
Sarda,sarda,56.75,19.25,1501:469:3,0.04
Sarda,sarda,56.25,19.75,1501:469:2,0.05
Sarda,sarda,56.25,19.25,1501:469:1,0.04
Sarda,sarda,56.75,18.75,1501:468:4,0.04
Sarda,sarda,56.25,18.75,1501:468:2,0.04
Sarda,sarda,56.25,18.25,1501:468:1,0.04
Sarda,sarda,56.75,17.75,1501:467:4,0.04
Sarda,sarda,56.75,17.25,1501:467:3,0.03
Sarda,sarda,55.75,19.75,1501:459:4,0.05
Sarda,sarda,55.75,19.25,1501:459:3,0.05
Sarda,sarda,55.25,19.75,1501:459:2,0.05
Sarda,sarda,55.25,19.25,1501:459:1,0.05
Sarda,sarda,55.75,18.75,1501:458:4,0.05
Sarda,sarda,55.75,18.25,1501:458:3,0.04
Sarda,sarda,55.25,18.75,1501:458:2,0.05
Sarda,sarda,55.25,18.25,1501:458:1,0.05
Sarda,sarda,55.75,17.75,1501:457:4,0.01
Sarda,sarda,55.25,17.75,1501:457:2,0.05
Sarda,sarda,55.25,17.25,1501:457:1,0.05
Sarda,sarda,55.75,16.25,1501:456:3,0.03
Sarda,sarda,55.25,16.75,1501:456:2,0.05
Sarda,sarda,55.25,16.25,1501:456:1,0.05
Sarda,sarda,55.75,15.75,1501:455:4,0.04
Sarda,sarda,55.25,15.75,1501:455:2,0.05
Sarda,sarda,55.25,15.25,1501:455:1,0.05
Sarda,sarda,56.25,12.75,1501:362:2,0.04
Sarda,sarda,55.75,14.75,1501:354:4,0.01
Sarda,sarda,55.25,14.75,1501:354:2,0.05
Sarda,sarda,55.25,14.25,1501:354:1,0.05
Sarda,sarda,55.25,13.75,1501:353:2,0.05
Sarda,sarda,54.75,19.75,1501:249:4,0.05
Sarda,sarda,54.75,19.25,1501:249:3,0.05
Sarda,sarda,54.25,19.25,1501:249:1,0.02
Sarda,sarda,54.75,18.75,1501:248:4,0.05
Sarda,sarda,54.75,16.25,1501:246:3,0.05
Sarda,sarda,54.75,15.75,1501:245:4,0.05
Sarda,sarda,54.75,15.25,1501:245:3,0.05
Sarda,sarda,54.75,14.75,1501:144:4,0.05
Sarda,sarda,54.75,14.25,1501:144:3,0.06
Sarda,sarda,54.25,14.75,1501:144:2,0.04
Sarda,sarda,59.25,3.75,1500:393:2,0.11
Sarda,sarda,57.75,3.25,1500:373:3,0.18
Sarda,sarda,55.25,0.75,1500:350:2,0.13
Sarda,sarda,54.75,0.25,1500:140:3,0.19
Sarda,sarda,44.75,29.25,1402:249:3,0.15
Sarda,sarda,44.75,28.75,1402:248:4,0.16
Sarda,sarda,41.75,17.25,1401:217:3,0.17
Sarda,sarda,40.75,10.25,1401:100:3,0.16
Sarda,sarda,40.75,7.75,1400:207:4,0.09
Sarda,sarda,36.25,35.75,1303:465:2,0.19
Sarda,sarda,36.25,35.25,1303:465:1,0.15
Sarda,sarda,35.75,35.75,1303:455:4,0.15
Sarda,sarda,35.25,35.75,1303:455:2,0.15
Sarda,sarda,36.75,34.75,1303:364:4,0.14
Sarda,sarda,36.25,34.75,1303:364:2,0.13
Sarda,sarda,36.25,34.25,1303:364:1,0.13
Sarda,sarda,36.25,33.75,1303:363:2,0.12
Sarda,sarda,36.25,33.25,1303:363:1,0.14
Sarda,sarda,36.25,32.75,1303:362:2,0.14
Sarda,sarda,36.25,32.25,1303:362:1,0.11
Sarda,sarda,36.75,31.25,1303:361:3,0.11
Sarda,sarda,36.75,30.75,1303:360:4,0.12
Sarda,sarda,36.25,30.75,1303:360:2,0.11
Sarda,sarda,36.25,30.25,1303:360:1,0.11
Sarda,sarda,35.75,34.75,1303:354:4,0.12
Sarda,sarda,35.75,34.25,1303:354:3,0.12
Sarda,sarda,35.25,34.25,1303:354:1,0.11
Sarda,sarda,35.25,33.75,1303:353:2,0.12
Sarda,sarda,35.25,33.25,1303:353:1,0.11
Sarda,sarda,35.25,32.75,1303:352:2,0.10
Sarda,sarda,35.25,32.25,1303:352:1,0.10
Sarda,sarda,34.75,35.75,1303:245:4,0.15
Sarda,sarda,33.75,35.25,1303:235:3,0.18
Sarda,sarda,34.75,34.25,1303:144:3,0.12
Sarda,sarda,34.75,33.75,1303:143:4,0.12
Sarda,sarda,34.75,33.25,1303:143:3,0.12
Sarda,sarda,34.75,32.75,1303:142:4,0.11
Sarda,sarda,34.75,32.25,1303:142:3,0.11
Sarda,sarda,32.25,32.25,1303:122:1,0.15
Sarda,sarda,32.25,31.75,1303:121:2,0.16
Sarda,sarda,32.25,31.25,1303:121:1,0.16
Sarda,sarda,32.25,30.75,1303:120:2,0.16
Sarda,sarda,32.25,30.25,1303:120:1,0.16
Sarda,sarda,31.25,30.25,1303:110:1,0.03
Sarda,sarda,38.25,25.25,1302:485:1,0.17
Sarda,sarda,37.25,27.25,1302:477:1,0.15
Sarda,sarda,37.25,26.75,1302:476:2,0.16
Sarda,sarda,36.25,29.75,1302:469:2,0.11
Sarda,sarda,36.25,29.25,1302:469:1,0.11
Sarda,sarda,36.75,28.75,1302:468:4,0.11
Sarda,sarda,36.75,28.25,1302:468:3,0.11
Sarda,sarda,36.25,28.25,1302:468:1,0.11
Sarda,sarda,36.75,27.75,1302:467:4,0.11
Sarda,sarda,36.75,27.25,1302:467:3,0.12
Sarda,sarda,36.25,27.75,1302:467:2,0.12
Sarda,sarda,36.25,27.25,1302:467:1,0.14
Sarda,sarda,36.75,26.75,1302:466:4,0.15
Sarda,sarda,36.25,26.75,1302:466:2,0.18
Sarda,sarda,35.75,27.75,1302:457:4,0.12
Sarda,sarda,35.75,27.25,1302:457:3,0.14
Sarda,sarda,35.25,27.25,1302:457:1,0.15
Sarda,sarda,35.75,26.75,1302:456:4,0.18
Sarda,sarda,35.25,26.75,1302:456:2,0.18
Sarda,sarda,35.75,25.75,1302:455:4,0.18
Sarda,sarda,34.75,25.75,1302:245:4,0.19
Sarda,sarda,34.75,25.25,1302:245:3,0.19
Sarda,sarda,31.75,27.25,1302:217:3,0.19
Sarda,sarda,31.75,26.75,1302:216:4,0.19
Sarda,sarda,31.75,26.25,1302:216:3,0.19
Sarda,sarda,34.75,23.75,1302:143:4,0.10
Sarda,sarda,32.75,23.75,1302:123:4,0.17
Sarda,sarda,38.25,11.25,1301:381:1,0.19
Sarda,sarda,35.25,14.75,1301:354:2,0.12
Sarda,sarda,31.25,18.75,1301:218:2,0.04
Sarda,sarda,38.25,9.75,1300:489:2,0.01
Sarda,sarda,36.75,7.75,1300:467:4,0.14
Sarda,sarda,1.75,9.25,1000:219:3,0.13
Sarda,sarda,60.75,-10.75,7601:100:4,0.36
Sarda,sarda,61.25,-9.25,7600:219:1,0.36
Sarda,sarda,60.75,-9.75,7600:209:4,0.22
