Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Diplodus,puntazzo,-16.25,-5.75,5100:465:2,0.08
Diplodus,puntazzo,-22.25,13.75,3201:123:2,0.01
Diplodus,puntazzo,-21.75,13.75,3201:113:4,0.01
Diplodus,puntazzo,-21.75,13.25,3201:113:3,0.10
Diplodus,puntazzo,-21.25,13.75,3201:113:2,0.01
Diplodus,puntazzo,-21.25,13.25,3201:113:1,0.04
Diplodus,puntazzo,-20.75,13.75,3201:103:4,0.03
Diplodus,puntazzo,-20.75,13.25,3201:103:3,0.01
Diplodus,puntazzo,-20.25,13.25,3201:103:1,0.04
Diplodus,puntazzo,-20.25,12.75,3201:102:2,0.07
Diplodus,puntazzo,-19.75,13.25,3101:393:3,0.09
Diplodus,puntazzo,-19.75,12.75,3101:392:4,0.04
Diplodus,puntazzo,-19.25,12.75,3101:392:2,0.11
Diplodus,puntazzo,-19.25,12.25,3101:392:1,0.11
Diplodus,puntazzo,-18.75,12.75,3101:382:4,0.18
Diplodus,puntazzo,-18.75,12.25,3101:382:3,0.10
Diplodus,puntazzo,-18.75,11.75,3101:381:4,0.13
Diplodus,puntazzo,-8.25,12.75,3001:382:2,0.16
Diplodus,puntazzo,-7.25,12.75,3001:372:2,0.18
Diplodus,puntazzo,-4.25,10.75,3001:140:2,0.07
Diplodus,puntazzo,-3.75,10.75,3001:130:4,0.12
Diplodus,puntazzo,-3.75,10.25,3001:130:3,0.07
Diplodus,puntazzo,-3.25,10.25,3001:130:1,0.19
Diplodus,puntazzo,-2.75,10.25,3001:120:3,0.10
Diplodus,puntazzo,-5.25,1.75,3000:351:2,0.16
Diplodus,puntazzo,-2.75,9.75,3000:229:4,0.18
Diplodus,puntazzo,-2.25,9.75,3000:229:2,0.13
Diplodus,puntazzo,-2.25,9.25,3000:229:1,0.19
Diplodus,puntazzo,-1.75,9.25,3000:219:3,0.14
Diplodus,puntazzo,-1.25,9.25,3000:219:1,0.09
Diplodus,puntazzo,-1.75,8.75,3000:218:4,0.03
Diplodus,puntazzo,-1.25,8.75,3000:218:2,0.12
Diplodus,puntazzo,-1.25,8.25,3000:218:1,0.03
Diplodus,puntazzo,-0.75,9.25,3000:209:3,0.05
Diplodus,puntazzo,-0.25,9.25,3000:209:1,0.02
Diplodus,puntazzo,-0.75,8.75,3000:208:4,0.06
Diplodus,puntazzo,-0.25,8.75,3000:208:2,0.04
Diplodus,puntazzo,41.25,25.25,1402:215:1,0.03
Diplodus,puntazzo,40.75,25.75,1402:205:4,0.08
Diplodus,puntazzo,40.25,25.75,1402:205:2,0.15
Diplodus,puntazzo,40.25,10.25,1401:100:1,0.01
Diplodus,puntazzo,36.25,30.75,1303:360:2,0.17
Diplodus,puntazzo,36.25,30.25,1303:360:1,0.16
Diplodus,puntazzo,35.25,32.75,1303:352:2,0.13
Diplodus,puntazzo,35.25,32.25,1303:352:1,0.14
Diplodus,puntazzo,34.75,32.25,1303:142:3,0.19
Diplodus,puntazzo,32.25,32.25,1303:122:1,0.07
Diplodus,puntazzo,36.25,29.75,1302:469:2,0.17
Diplodus,puntazzo,36.25,29.25,1302:469:1,0.19
Diplodus,puntazzo,36.75,28.25,1302:468:3,0.18
Diplodus,puntazzo,36.25,28.25,1302:468:1,0.18
Diplodus,puntazzo,37.75,11.25,1301:371:3,0.04
Diplodus,puntazzo,34.75,13.75,1301:143:4,0.11
Diplodus,puntazzo,34.25,13.75,1301:143:2,0.18
Diplodus,puntazzo,39.25,3.75,1300:393:2,0.13
Diplodus,puntazzo,6.75,3.75,1000:363:4,0.01
Diplodus,puntazzo,6.75,3.25,1000:363:3,0.01
Diplodus,puntazzo,6.25,2.25,1000:362:1,0.02
Diplodus,puntazzo,6.25,1.75,1000:361:2,0.05
Diplodus,puntazzo,6.25,1.25,1000:361:1,0.08
Diplodus,puntazzo,5.75,1.25,1000:351:3,0.07
Diplodus,puntazzo,5.75,0.75,1000:350:4,0.09
Diplodus,puntazzo,5.75,0.25,1000:350:3,0.11
Diplodus,puntazzo,5.25,0.25,1000:350:1,0.10
Diplodus,puntazzo,1.75,7.75,1000:217:4,0.01
Diplodus,puntazzo,1.75,7.25,1000:217:3,0.01
Diplodus,puntazzo,1.25,7.25,1000:217:1,0.02
Diplodus,puntazzo,0.25,8.75,1000:208:2,0.02
Diplodus,puntazzo,0.25,6.75,1000:206:2,0.08
Diplodus,puntazzo,30.25,-12.75,7301:102:2,0.23
Diplodus,puntazzo,30.75,-10.75,7301:100:4,0.33
Diplodus,puntazzo,39.75,-9.75,7300:499:4,0.24
Diplodus,puntazzo,39.75,-9.25,7300:499:3,0.21
Diplodus,puntazzo,39.25,-9.75,7300:499:2,0.26
Diplodus,puntazzo,39.25,-9.25,7300:499:1,0.25
Diplodus,puntazzo,39.75,-8.75,7300:498:4,0.21
Diplodus,puntazzo,38.75,-9.75,7300:489:4,0.32
Diplodus,puntazzo,38.75,-9.25,7300:489:3,0.27
Diplodus,puntazzo,34.25,-7.75,7300:247:2,0.34
Diplodus,puntazzo,34.25,-7.25,7300:247:1,0.31
Diplodus,puntazzo,29.75,-12.75,7201:392:4,0.25
Diplodus,puntazzo,22.25,-17.25,7201:227:1,0.35
Diplodus,puntazzo,21.25,-17.75,7201:217:2,0.29
Diplodus,puntazzo,21.75,-16.75,7201:216:4,0.32
Diplodus,puntazzo,16.25,-24.25,7102:364:1,0.30
Diplodus,puntazzo,19.75,-17.25,7101:497:3,0.26
Diplodus,puntazzo,19.25,-16.25,7101:496:1,0.33
Diplodus,puntazzo,18.25,-16.25,7101:486:1,0.36
Diplodus,puntazzo,16.25,-16.75,7101:466:2,0.38
Diplodus,puntazzo,14.25,-16.75,7101:246:2,0.37
Diplodus,puntazzo,13.75,-16.75,7101:236:4,0.32
Diplodus,puntazzo,13.75,-16.25,7101:236:3,0.31
Diplodus,puntazzo,13.25,-16.75,7101:236:2,0.32
Diplodus,puntazzo,13.25,-16.25,7101:236:1,0.28
Diplodus,puntazzo,13.75,-15.75,7101:235:4,0.30
Diplodus,puntazzo,13.25,-15.75,7101:235:2,0.26
Diplodus,puntazzo,12.75,-16.75,7101:226:4,0.31
Diplodus,puntazzo,12.75,-16.25,7101:226:3,0.24
Diplodus,puntazzo,12.25,-16.75,7101:226:2,0.27
Diplodus,puntazzo,12.25,-16.25,7101:226:1,0.20
Diplodus,puntazzo,11.75,-17.25,7101:217:3,0.39
Diplodus,puntazzo,11.25,-17.25,7101:217:1,0.37
Diplodus,puntazzo,11.75,-16.75,7101:216:4,0.21
Diplodus,puntazzo,11.25,-16.75,7101:216:2,0.25
Diplodus,puntazzo,10.75,-16.75,7101:206:4,0.30
Diplodus,puntazzo,10.75,-16.25,7101:206:3,0.21
Diplodus,puntazzo,10.25,-16.75,7101:206:2,0.26
Diplodus,puntazzo,10.25,-16.25,7101:206:1,0.24
Diplodus,puntazzo,-12.75,-2.75,5100:122:4,0.26
Diplodus,puntazzo,-7.75,-14.25,5001:374:3,0.35
Diplodus,puntazzo,-19.75,12.25,3101:392:3,0.22
Diplodus,puntazzo,-18.25,12.25,3101:382:1,0.21
Diplodus,puntazzo,-18.25,11.75,3101:381:2,0.21
Diplodus,puntazzo,-17.75,11.75,3101:371:4,0.24
Diplodus,puntazzo,-17.25,11.75,3101:371:2,0.26
Diplodus,puntazzo,-16.75,11.75,3101:361:4,0.20
Diplodus,puntazzo,-16.25,11.75,3101:361:2,0.34
Diplodus,puntazzo,-12.25,13.75,3101:123:2,0.39
Diplodus,puntazzo,-11.75,13.75,3101:113:4,0.35
Diplodus,puntazzo,-11.25,13.75,3101:113:2,0.36
Diplodus,puntazzo,-10.75,13.75,3101:103:4,0.37
Diplodus,puntazzo,-10.25,13.75,3101:103:2,0.37
Diplodus,puntazzo,-9.25,13.25,3001:393:1,0.38
Diplodus,puntazzo,-9.75,12.75,3001:392:4,0.37
Diplodus,puntazzo,-9.25,12.75,3001:392:2,0.37
Diplodus,puntazzo,-8.75,13.25,3001:383:3,0.34
Diplodus,puntazzo,-8.25,13.25,3001:383:1,0.35
Diplodus,puntazzo,-7.75,13.25,3001:373:3,0.24
Diplodus,puntazzo,-7.75,12.75,3001:372:4,0.28
Diplodus,puntazzo,-7.25,12.25,3001:372:1,0.20
Diplodus,puntazzo,-3.25,9.75,3000:239:2,0.22
Diplodus,puntazzo,-2.75,9.25,3000:229:3,0.24
Diplodus,puntazzo,-2.25,8.75,3000:228:2,0.23
Diplodus,puntazzo,-1.25,5.75,3000:215:2,0.23
Diplodus,puntazzo,40.75,25.25,1402:205:3,0.29
Diplodus,puntazzo,35.25,35.75,1303:455:2,0.39
Diplodus,puntazzo,36.75,34.75,1303:364:4,0.39
Diplodus,puntazzo,36.25,34.75,1303:364:2,0.21
Diplodus,puntazzo,36.25,34.25,1303:364:1,0.27
Diplodus,puntazzo,36.25,33.75,1303:363:2,0.26
Diplodus,puntazzo,36.25,33.25,1303:363:1,0.37
Diplodus,puntazzo,36.25,32.75,1303:362:2,0.35
Diplodus,puntazzo,36.25,32.25,1303:362:1,0.20
Diplodus,puntazzo,36.75,31.25,1303:361:3,0.21
Diplodus,puntazzo,36.75,30.75,1303:360:4,0.22
Diplodus,puntazzo,35.75,34.75,1303:354:4,0.25
Diplodus,puntazzo,35.75,34.25,1303:354:3,0.22
Diplodus,puntazzo,35.25,34.25,1303:354:1,0.21
Diplodus,puntazzo,35.25,33.75,1303:353:2,0.21
Diplodus,puntazzo,35.25,33.25,1303:353:1,0.20
Diplodus,puntazzo,34.75,34.25,1303:144:3,0.25
Diplodus,puntazzo,34.75,33.75,1303:143:4,0.22
Diplodus,puntazzo,34.75,33.25,1303:143:3,0.23
Diplodus,puntazzo,34.75,32.75,1303:142:4,0.20
Diplodus,puntazzo,33.25,34.75,1303:134:2,0.20
Diplodus,puntazzo,32.25,31.75,1303:121:2,0.36
Diplodus,puntazzo,32.25,31.25,1303:121:1,0.33
Diplodus,puntazzo,32.25,30.25,1303:120:1,0.32
Diplodus,puntazzo,36.75,28.75,1302:468:4,0.21
Diplodus,puntazzo,36.75,27.75,1302:467:4,0.20
Diplodus,puntazzo,36.75,27.25,1302:467:3,0.27
Diplodus,puntazzo,36.25,27.75,1302:467:2,0.24
Diplodus,puntazzo,36.25,27.25,1302:467:1,0.36
Diplodus,puntazzo,35.75,27.75,1302:457:4,0.24
Diplodus,puntazzo,35.75,27.25,1302:457:3,0.38
Diplodus,puntazzo,31.75,29.75,1302:219:4,0.36
Diplodus,puntazzo,36.25,11.75,1301:361:2,0.22
Diplodus,puntazzo,35.75,13.25,1301:353:3,0.38
Diplodus,puntazzo,35.25,13.75,1301:353:2,0.34
Diplodus,puntazzo,32.25,16.25,1301:226:1,0.26
Diplodus,puntazzo,34.25,14.75,1301:144:2,0.36
Diplodus,puntazzo,31.75,-10.25,7301:110:3,0.58
Diplodus,puntazzo,38.25,-9.25,7300:489:1,0.44
Diplodus,puntazzo,38.75,-8.75,7300:488:4,0.40
Diplodus,puntazzo,38.25,-8.75,7300:488:2,0.50
Diplodus,puntazzo,37.25,-9.25,7300:479:1,0.54
Diplodus,puntazzo,33.75,-8.75,7300:238:4,0.53
