Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Lophius,budegassa,42.75,-11.25,7401:121:3,0.06
Lophius,budegassa,49.75,-2.75,7400:392:4,0.10
Lophius,budegassa,49.75,-1.75,7400:391:4,0.10
Lophius,budegassa,46.75,-2.25,7400:362:3,0.07
Lophius,budegassa,45.25,-1.25,7400:351:1,0.04
Lophius,budegassa,44.75,-1.25,7400:141:3,0.14
Lophius,budegassa,37.25,-13.75,7301:373:2,0.03
Lophius,budegassa,32.25,-16.75,7301:226:2,0.05
Lophius,budegassa,34.75,-11.75,7301:141:4,0.18
Lophius,budegassa,32.75,-13.25,7301:123:3,0.03
Lophius,budegassa,31.25,-12.25,7301:112:1,0.14
Lophius,budegassa,31.75,-10.75,7301:110:4,0.12
Lophius,budegassa,37.75,-9.75,7300:479:4,0.11
Lophius,budegassa,32.25,-9.25,7300:229:1,0.13
Lophius,budegassa,29.25,-12.75,7201:392:2,0.11
Lophius,budegassa,22.25,-17.75,7201:227:2,0.17
Lophius,budegassa,22.25,-16.75,7201:226:2,0.17
Lophius,budegassa,21.75,-17.25,7201:217:3,0.04
Lophius,budegassa,21.75,-16.75,7201:216:4,0.15
Lophius,budegassa,21.25,-16.75,7201:216:2,0.01
Lophius,budegassa,20.75,-17.25,7201:207:3,0.06
Lophius,budegassa,19.75,-17.25,7101:497:3,0.13
Lophius,budegassa,19.25,-16.25,7101:496:1,0.18
Lophius,budegassa,16.25,-17.25,7101:467:1,0.10
Lophius,budegassa,16.25,-16.75,7101:466:2,0.19
Lophius,budegassa,58.25,6.25,1500:486:1,0.14
Lophius,budegassa,58.25,5.75,1500:485:2,0.19
Lophius,budegassa,57.75,8.75,1500:478:4,0.18
Lophius,budegassa,57.75,7.25,1500:477:3,0.01
Lophius,budegassa,57.75,6.75,1500:476:4,0.12
Lophius,budegassa,57.25,3.25,1500:373:1,0.06
Lophius,budegassa,57.75,2.75,1500:372:4,0.19
Lophius,budegassa,56.75,4.25,1500:364:3,0.13
Lophius,budegassa,56.25,4.25,1500:364:1,0.07
Lophius,budegassa,56.75,3.25,1500:363:3,0.10
Lophius,budegassa,56.25,3.75,1500:363:2,0.10
Lophius,budegassa,56.25,3.25,1500:363:1,0.16
Lophius,budegassa,55.75,3.25,1500:353:3,0.03
Lophius,budegassa,54.25,2.25,1500:142:1,0.16
Lophius,budegassa,51.75,1.25,1500:111:3,0.11
Lophius,budegassa,50.25,1.25,1500:101:1,0.06
Lophius,budegassa,40.25,25.25,1402:205:1,0.04
Lophius,budegassa,40.75,24.75,1402:104:4,0.14
Lophius,budegassa,45.25,12.75,1401:352:2,0.04
Lophius,budegassa,42.75,6.75,1400:226:4,0.04
Lophius,budegassa,43.75,4.25,1400:134:3,0.06
Lophius,budegassa,36.75,35.25,1303:465:3,0.01
Lophius,budegassa,36.25,35.25,1303:465:1,0.17
Lophius,budegassa,35.75,35.75,1303:455:4,0.17
Lophius,budegassa,35.75,35.25,1303:455:3,0.03
Lophius,budegassa,35.25,35.75,1303:455:2,0.16
Lophius,budegassa,35.25,35.25,1303:455:1,0.02
Lophius,budegassa,36.75,34.75,1303:364:4,0.16
Lophius,budegassa,36.25,34.75,1303:364:2,0.13
Lophius,budegassa,36.25,34.25,1303:364:1,0.13
Lophius,budegassa,36.25,33.75,1303:363:2,0.13
Lophius,budegassa,36.25,33.25,1303:363:1,0.16
Lophius,budegassa,36.25,32.75,1303:362:2,0.15
Lophius,budegassa,36.25,32.25,1303:362:1,0.11
Lophius,budegassa,36.75,31.25,1303:361:3,0.11
Lophius,budegassa,36.75,30.75,1303:360:4,0.12
Lophius,budegassa,36.25,30.75,1303:360:2,0.11
Lophius,budegassa,36.25,30.25,1303:360:1,0.11
Lophius,budegassa,35.75,34.75,1303:354:4,0.12
Lophius,budegassa,35.75,34.25,1303:354:3,0.12
Lophius,budegassa,35.25,34.75,1303:354:2,0.12
Lophius,budegassa,35.25,34.25,1303:354:1,0.12
Lophius,budegassa,35.75,33.75,1303:353:4,0.12
Lophius,budegassa,35.75,33.25,1303:353:3,0.09
Lophius,budegassa,35.25,33.75,1303:353:2,0.12
Lophius,budegassa,35.25,33.25,1303:353:1,0.12
Lophius,budegassa,35.75,32.75,1303:352:4,0.12
Lophius,budegassa,35.25,32.75,1303:352:2,0.10
Lophius,budegassa,35.25,32.25,1303:352:1,0.10
Lophius,budegassa,35.25,30.25,1303:350:1,0.01
Lophius,budegassa,34.75,36.25,1303:246:3,0.19
Lophius,budegassa,34.75,35.75,1303:245:4,0.16
Lophius,budegassa,34.75,34.25,1303:144:3,0.13
Lophius,budegassa,34.75,33.75,1303:143:4,0.12
Lophius,budegassa,34.75,33.25,1303:143:3,0.13
Lophius,budegassa,34.25,33.75,1303:143:2,0.14
Lophius,budegassa,34.25,33.25,1303:143:1,0.08
Lophius,budegassa,34.75,32.75,1303:142:4,0.12
Lophius,budegassa,34.75,32.25,1303:142:3,0.11
Lophius,budegassa,33.75,32.75,1303:132:4,0.04
Lophius,budegassa,32.25,33.75,1303:123:2,0.08
Lophius,budegassa,32.25,33.25,1303:123:1,0.15
Lophius,budegassa,32.25,32.75,1303:122:2,0.17
