Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Syngnathus,typhle,61.25,20.75,1602:110:2,0.26
Syngnathus,typhle,60.25,21.75,1602:101:2,0.21
Syngnathus,typhle,60.25,21.25,1602:101:1,0.23
Syngnathus,typhle,60.75,20.75,1602:100:4,0.24
Syngnathus,typhle,60.75,20.25,1602:100:3,0.32
Syngnathus,typhle,60.25,20.75,1602:100:2,0.25
Syngnathus,typhle,60.25,20.25,1602:100:1,0.30
Syngnathus,typhle,67.75,11.75,1601:371:4,0.21
Syngnathus,typhle,62.25,19.75,1601:229:2,0.23
Syngnathus,typhle,62.25,19.25,1601:229:1,0.25
Syngnathus,typhle,62.75,18.75,1601:228:4,0.20
Syngnathus,typhle,62.75,18.25,1601:228:3,0.20
Syngnathus,typhle,62.75,17.25,1601:227:3,0.29
Syngnathus,typhle,62.25,17.75,1601:227:2,0.30
Syngnathus,typhle,61.75,19.75,1601:219:4,0.24
Syngnathus,typhle,61.75,19.25,1601:219:3,0.31
Syngnathus,typhle,61.75,18.75,1601:218:4,0.32
Syngnathus,typhle,61.75,17.75,1601:217:4,0.31
Syngnathus,typhle,61.75,17.25,1601:217:3,0.30
Syngnathus,typhle,61.25,17.75,1601:217:2,0.32
Syngnathus,typhle,61.25,17.25,1601:217:1,0.31
Syngnathus,typhle,60.75,19.75,1601:209:4,0.36
Syngnathus,typhle,60.75,19.25,1601:209:3,0.36
Syngnathus,typhle,60.25,19.75,1601:209:2,0.36
Syngnathus,typhle,60.25,19.25,1601:209:1,0.38
Syngnathus,typhle,60.75,18.75,1601:208:4,0.35
Syngnathus,typhle,60.75,18.25,1601:208:3,0.33
Syngnathus,typhle,60.25,18.75,1601:208:2,0.35
Syngnathus,typhle,60.25,18.25,1601:208:1,0.32
Syngnathus,typhle,60.75,17.75,1601:207:4,0.31
Syngnathus,typhle,60.75,17.25,1601:207:3,0.30
Syngnathus,typhle,59.25,23.75,1502:393:2,0.33
Syngnathus,typhle,59.75,22.75,1502:392:4,0.26
Syngnathus,typhle,59.75,22.25,1502:392:3,0.30
Syngnathus,typhle,59.75,21.75,1502:391:4,0.34
Syngnathus,typhle,57.75,22.25,1502:372:3,0.33
Syngnathus,typhle,55.75,20.75,1502:350:4,0.33
Syngnathus,typhle,59.25,17.75,1501:497:2,0.32
Syngnathus,typhle,56.75,18.75,1501:468:4,0.34
Syngnathus,typhle,57.75,9.25,1500:479:3,0.22
Syngnathus,typhle,56.75,7.25,1500:467:3,0.22
Syngnathus,typhle,55.25,7.75,1500:457:2,0.22
Syngnathus,typhle,54.25,8.75,1500:248:2,0.30
