Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Coryphoblennius,galerita,32.75,35.25,1303:225:3,0.29
Coryphoblennius,galerita,32.75,34.75,1303:124:4,0.28
Coryphoblennius,galerita,31.75,34.75,1303:114:4,0.38
Coryphoblennius,galerita,37.25,27.75,1302:477:2,0.33
Coryphoblennius,galerita,37.75,26.75,1302:476:4,0.29
Coryphoblennius,galerita,37.75,26.25,1302:476:3,0.37
Coryphoblennius,galerita,37.25,26.25,1302:476:1,0.22
Coryphoblennius,galerita,36.75,29.25,1302:469:3,0.30
Coryphoblennius,galerita,36.75,26.25,1302:466:3,0.22
Coryphoblennius,galerita,36.25,26.25,1302:466:1,0.28
Coryphoblennius,galerita,35.75,26.25,1302:456:3,0.32
Coryphoblennius,galerita,35.25,26.25,1302:456:1,0.31
Coryphoblennius,galerita,35.25,25.75,1302:455:2,0.35
Coryphoblennius,galerita,35.25,25.25,1302:455:1,0.38
Coryphoblennius,galerita,35.25,24.25,1302:354:1,0.38
Coryphoblennius,galerita,35.25,23.75,1302:353:2,0.39
Coryphoblennius,galerita,34.75,26.25,1302:246:3,0.20
Coryphoblennius,galerita,31.25,28.75,1302:218:2,0.31
Coryphoblennius,galerita,31.75,25.25,1302:215:3,0.22
Coryphoblennius,galerita,30.75,29.25,1302:209:3,0.22
Coryphoblennius,galerita,30.75,28.75,1302:208:4,0.32
Coryphoblennius,galerita,34.75,24.75,1302:144:4,0.20
Coryphoblennius,galerita,34.75,24.25,1302:144:3,0.24
Coryphoblennius,galerita,32.25,24.75,1302:124:2,0.28
Coryphoblennius,galerita,32.25,24.25,1302:124:1,0.33
Coryphoblennius,galerita,32.25,23.75,1302:123:2,0.36
Coryphoblennius,galerita,32.25,23.25,1302:123:1,0.37
Coryphoblennius,galerita,51.25,-4.25,7500:114:1,0.48
Coryphoblennius,galerita,51.75,-3.75,7500:113:4,0.46
Coryphoblennius,galerita,51.75,-3.25,7500:113:3,0.47
Coryphoblennius,galerita,51.75,-2.75,7500:112:4,0.58
Coryphoblennius,galerita,47.25,-2.75,7400:372:2,0.52
Coryphoblennius,galerita,45.25,-1.25,7400:351:1,0.55
Coryphoblennius,galerita,41.75,-8.75,7400:218:4,0.57
Coryphoblennius,galerita,40.75,-8.75,7400:208:4,0.54
Coryphoblennius,galerita,25.75,-14.75,7201:354:4,0.56
Coryphoblennius,galerita,25.25,-14.75,7201:354:2,0.43
Coryphoblennius,galerita,51.75,3.25,1500:113:3,0.48
Coryphoblennius,galerita,50.25,1.25,1500:101:1,0.56
Coryphoblennius,galerita,40.25,29.25,1402:209:1,0.45
Coryphoblennius,galerita,40.25,28.75,1402:208:2,0.50
Coryphoblennius,galerita,40.25,28.25,1402:208:1,0.55
Coryphoblennius,galerita,40.75,27.75,1402:207:4,0.44
Coryphoblennius,galerita,40.75,27.25,1402:207:3,0.49
Coryphoblennius,galerita,40.75,26.75,1402:206:4,0.56
Coryphoblennius,galerita,40.25,17.75,1401:207:2,0.56
Coryphoblennius,galerita,40.25,17.25,1401:207:1,0.54
Coryphoblennius,galerita,40.25,16.75,1401:206:2,0.52
Coryphoblennius,galerita,36.75,34.25,1303:364:3,0.51
Coryphoblennius,galerita,36.75,31.75,1303:361:4,0.57
Coryphoblennius,galerita,32.25,34.75,1303:124:2,0.40
Coryphoblennius,galerita,31.25,34.25,1303:114:1,0.58
Coryphoblennius,galerita,31.75,32.25,1303:112:3,0.56
Coryphoblennius,galerita,31.75,30.25,1303:110:3,0.43
Coryphoblennius,galerita,31.25,30.75,1303:110:2,0.46
Coryphoblennius,galerita,31.25,30.25,1303:110:1,0.44
Coryphoblennius,galerita,38.75,26.75,1302:486:4,0.57
Coryphoblennius,galerita,38.25,26.75,1302:486:2,0.44
Coryphoblennius,galerita,38.25,26.25,1302:486:1,0.58
Coryphoblennius,galerita,37.75,27.25,1302:477:3,0.50
Coryphoblennius,galerita,37.25,25.75,1302:475:2,0.49
Coryphoblennius,galerita,36.75,25.75,1302:465:4,0.42
Coryphoblennius,galerita,36.25,25.75,1302:465:2,0.41
Coryphoblennius,galerita,38.25,20.25,1302:380:1,0.59
Coryphoblennius,galerita,35.25,24.75,1302:354:2,0.42
Coryphoblennius,galerita,31.25,29.75,1302:219:2,0.49
Coryphoblennius,galerita,31.25,28.25,1302:218:1,0.41
Coryphoblennius,galerita,31.25,27.75,1302:217:2,0.49
Coryphoblennius,galerita,31.25,27.25,1302:217:1,0.43
Coryphoblennius,galerita,31.25,26.75,1302:216:2,0.43
Coryphoblennius,galerita,32.75,23.25,1302:123:3,0.41
Coryphoblennius,galerita,32.75,22.75,1302:122:4,0.43
Coryphoblennius,galerita,32.75,22.25,1302:122:3,0.46
Coryphoblennius,galerita,32.75,21.75,1302:121:4,0.50
Coryphoblennius,galerita,32.75,21.25,1302:121:3,0.52
Coryphoblennius,galerita,32.75,20.75,1302:120:4,0.51
Coryphoblennius,galerita,39.25,19.75,1301:499:2,0.59
Coryphoblennius,galerita,39.75,17.25,1301:497:3,0.54
Coryphoblennius,galerita,39.25,17.25,1301:497:1,0.55
Coryphoblennius,galerita,39.75,16.75,1301:496:4,0.52
Coryphoblennius,galerita,38.75,17.25,1301:487:3,0.59
Coryphoblennius,galerita,38.75,16.75,1301:486:4,0.57
Coryphoblennius,galerita,51.75,-4.25,7500:114:3,0.67
Coryphoblennius,galerita,51.75,-2.25,7500:112:3,0.67
Coryphoblennius,galerita,51.25,-2.75,7500:112:2,0.64
Coryphoblennius,galerita,47.75,-2.75,7400:372:4,0.76
Coryphoblennius,galerita,47.25,-1.75,7400:371:2,0.62
Coryphoblennius,galerita,46.75,-1.75,7400:361:4,0.76
Coryphoblennius,galerita,42.25,-8.75,7400:228:2,0.75
Coryphoblennius,galerita,40.25,-8.75,7400:208:2,0.73
Coryphoblennius,galerita,33.25,-16.25,7301:236:1,0.71
Coryphoblennius,galerita,32.75,-17.25,7301:227:3,0.72
Coryphoblennius,galerita,32.75,-16.75,7301:226:4,0.72
Coryphoblennius,galerita,32.75,-16.25,7301:226:3,0.71
Coryphoblennius,galerita,30.25,-15.75,7301:205:2,0.72
Coryphoblennius,galerita,28.75,-17.75,7201:487:4,0.70
Coryphoblennius,galerita,28.25,-17.25,7201:487:1,0.71
