"SP","Format","Param","Method","Estimate","Sd_2.5","Sd_97.5","Migr"
"Afall","Li_Fa","M12","Random forest",8.8201855645,6.81397865853658,10.8900378333333,"Beta"
"Afall","Li_Fa","M21","Neural network",7.3977594165301,6.08013407392112,8.69142466464921,"Beta"
"Afall","Li_Fa","M21","Random forest",7.39492139133333,5.64740133333333,9.15782133757962,"Beta"
"Afall","Li_Ga","N1","Neural network",132345.128530146,121308.584365583,143688.002174169,"Beta"
"Afall","Li_Ga","N1","Random forest",117981.429916667,104837.261904762,133116.527777778,"Beta"
"Afall","Li_Ga","N2","Neural network",36082.6808923215,32344.6228790944,39366.1082788078,"Beta"
"Afall","Li_Ga","N2","Random forest",32829.087,27725,37730,"Beta"
"Afall","Li_Ga","Na","Neural network",85196.7003044819,71353.1122309297,99706.2341160307,"Beta"
"Afall","Li_Ga","Na","Random forest",88318.7941666667,69398,111847.518248175,"Beta"
"Afall","Li_Ga","shape_N_a","Neural network",2.00382298933291,1.69425988579993,2.34290640705713,"Beta"
"Afall","Li_Ga","shape_N_a","Random forest",2.06649197533333,1.5903699669967,2.4953832051282,"Beta"
"Afall","Li_Ga","shape_N_b","Neural network",2.44196116839598,1.98833473824209,2.91453043799264,"Beta"
"Afall","Li_Ga","shape_N_b","Random forest",2.4069960445,1.78929094017094,3.00220037037037,"Beta"
"Afall","Li_Ga","Tsplit","Neural network",448539.427822585,365792.117914967,533058.947124804,"Beta"
"Afall","Li_Ga","Tsplit","Random forest",461476.446333333,360000,554717.453183521,"Beta"
"Afall","Li_Ga","M12","Neural network",1.43460657190841,1.16727022988664,1.72317297070779,"Beta"
"Afall","Li_Ga","M12","Random forest",1.4473179525,1.0693355,1.768472,"Beta"
"Afall","Li_Ga","shape_M12_a","Neural network",1.52323897477705,1.22524840093676,1.81608557781368,"Beta"
"Afall","Li_Ga","shape_M12_a","Random forest",1.54493573033333,1.194208,1.86817534246575,"Beta"
"Afall","Li_Ga","shape_M12_b","Neural network",2.67513102912279,2.16016811395974,3.20531136884749,"Beta"
"Afall","Li_Ga","shape_M12_b","Random forest",2.65404041283333,2.03933570153061,3.34971563636364,"Beta"
"Afall","Li_Ga","M21","Neural network",16.444052486106,14.3679751189352,18.7878566000017,"Beta"
"Afall","Li_Ga","M21","Random forest",17.328342292,14.6519625555556,20.5588382722513,"Beta"
"Afall","Li_Ga","shape_M21_a","Neural network",2.20739877408311,1.77947912282001,2.63654248481211,"Beta"
"Afall","Li_Ga","shape_M21_a","Random forest",2.2143550485,1.71362544117647,2.762565,"Beta"
"Afall","Li_Ga","shape_M21_b","Neural network",3.05127666793822,2.45140301113952,3.65002326715941,"Beta"
"Afall","Li_Ga","shape_M21_b","Random forest",3.06794429166667,2.39117419642857,3.85032,"Beta"
"Cgale","Mu_Fa","N1","Neural network",396613.512081587,369582.400024093,428305.541428908,"Beta"
"Cgale","Mu_Fa","N1","Random forest",385409.204333333,326170,454922.428571429,"Beta"
"Cgale","Mu_Fa","N2","Neural network",387485.592089081,366544.472419165,411325.746075952,"Beta"
"Cgale","Mu_Fa","N2","Random forest",338762.609916667,285134.583333333,395625.333333333,"Beta"
"Cgale","Mu_Fa","Na","Neural network",337192.709315945,298116.872559424,372921.729202876,"Beta"
"Cgale","Mu_Fa","Na","Random forest",331964.898333333,270627.177615572,386340,"Beta"
"Cgale","Mu_Fa","shape_N_a","Neural network",0.307735062294111,0.256472657124267,0.35767545880697,"Beta"
"Cgale","Mu_Fa","shape_N_a","Random forest",0.3228962425,0.247259666666667,0.397927750497677,"Beta"
"Cgale","Mu_Fa","shape_N_b","Neural network",0.0155327546947254,0.01276729152367,0.0184851071132486,"Beta"
"Cgale","Mu_Fa","shape_N_b","Random forest",0.0150364953333333,0.0113,0.0190213333333333,"Beta"
"Cgale","Mu_Fa","Tsplit","Neural network",1186444.81559574,1082608.72509877,1275686.90116992,"Beta"
"Cgale","Mu_Fa","Tsplit","Random forest",1087313.27833333,873083,1281089.5,"Beta"
"Cgale","Mu_Fa","Tam","Neural network",613545.442925814,573401.611924478,676623.024368604,"Beta"
