Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Alosa,fallax,57.75,22.75,1502:372:4,0.05
Alosa,fallax,57.75,22.25,1502:372:3,0.15
Alosa,fallax,57.25,22.75,1502:372:2,0.02
Alosa,fallax,57.25,21.75,1502:371:2,0.10
Alosa,fallax,59.25,18.25,1501:498:1,0.05
Alosa,fallax,58.25,16.75,1501:486:2,0.07
Alosa,fallax,59.75,10.25,1501:390:3,0.04
Alosa,fallax,58.25,7.25,1500:487:1,0.07
Alosa,fallax,54.25,9.25,1500:249:1,0.04
Alosa,fallax,53.75,9.25,1500:239:3,0.08
Alosa,fallax,46.25,32.75,1403:362:2,0.16
Alosa,fallax,45.25,29.75,1402:459:2,0.09
Alosa,fallax,44.75,29.75,1402:249:4,0.14
Alosa,fallax,44.75,29.25,1402:249:3,0.08
Alosa,fallax,44.75,28.75,1402:248:4,0.14
Alosa,fallax,41.25,27.75,1402:217:2,0.07
Alosa,fallax,41.25,25.25,1402:215:1,0.04
Alosa,fallax,45.25,12.25,1401:352:1,0.14
Alosa,fallax,43.75,16.25,1401:236:3,0.04
Alosa,fallax,42.25,17.75,1401:227:2,0.12
Alosa,fallax,41.75,19.75,1401:219:4,0.19
Alosa,fallax,41.25,19.75,1401:219:2,0.02
Alosa,fallax,41.75,18.25,1401:218:3,0.15
Alosa,fallax,44.25,12.25,1401:142:1,0.06
Alosa,fallax,43.75,9.25,1400:239:3,0.16
Alosa,fallax,42.75,5.25,1400:225:3,0.04
Alosa,fallax,41.25,3.25,1400:113:1,0.16
Alosa,fallax,41.75,2.25,1400:112:3,0.18
Alosa,fallax,36.25,36.25,1303:466:1,0.01
Alosa,fallax,36.75,35.75,1303:465:4,0.02
Alosa,fallax,36.75,35.25,1303:465:3,0.03
Alosa,fallax,36.25,35.75,1303:465:2,0.02
Alosa,fallax,36.25,35.25,1303:465:1,0.02
Alosa,fallax,35.75,35.75,1303:455:4,0.02
Alosa,fallax,35.25,35.75,1303:455:2,0.02
Alosa,fallax,36.75,34.75,1303:364:4,0.02
Alosa,fallax,36.75,34.25,1303:364:3,0.08
Alosa,fallax,36.25,34.75,1303:364:2,0.02
Alosa,fallax,36.25,34.25,1303:364:1,0.02
Alosa,fallax,36.25,33.75,1303:363:2,0.03
Alosa,fallax,36.25,33.25,1303:363:1,0.04
Alosa,fallax,36.75,32.25,1303:362:3,0.16
Alosa,fallax,36.25,32.75,1303:362:2,0.04
Alosa,fallax,36.25,32.25,1303:362:1,0.04
Alosa,fallax,36.75,31.75,1303:361:4,0.12
Alosa,fallax,36.75,31.25,1303:361:3,0.04
Alosa,fallax,36.75,30.75,1303:360:4,0.04
Alosa,fallax,36.25,30.75,1303:360:2,0.06
Alosa,fallax,36.25,30.25,1303:360:1,0.05
Alosa,fallax,35.75,34.75,1303:354:4,0.03
Alosa,fallax,35.75,34.25,1303:354:3,0.04
